method,use_penalty,learning_rate,lambda_,cv_accuracy,cv_macro_f1,cv_weighted_f1,cv_macro_precision,cv_macro_recall,run_id
batch,False,0.1,0.01,0.7385220850879642,0.7339850947129971,0.7385482862797493,0.734560258033556,0.7338145854074286,27172830fa264948aa077a080bd65801
minibatch,False,0.1,0.01,0.7341150795095529,0.7282625753846741,0.7328302019805543,0.7280597126457984,0.7292354127843614,312fcd7ec8314638804d85bbf6772ced
batch,False,0.05,0.01,0.7256690857311602,0.7200813898470271,0.7247699844317674,0.7202784585644224,0.7205414574973164,ab98e125dc934dff9d411eb51d5e708c
minibatch,False,0.05,0.01,0.72162999639972,0.7146495444047574,0.7194452385110933,0.7142267233811656,0.7162377782949779,3344447d4f8b4e47870fc66859f626d2
batch,True,0.1,0.01,0.7168558836260077,0.7076130477528145,0.7127073849305375,0.7083036170601398,0.7103227367689744,f9bbfb9ccf914d03a41de9e3b3e6ae48
batch,True,0.05,0.01,0.7146527347969078,0.7052946818460842,0.7103896002296947,0.706174334188108,0.708056041268262,7b144a0ea9634797990ce52c2e730a00
minibatch,True,0.1,0.01,0.7091446098955109,0.6970832641486719,0.7024362191913186,0.698908754137696,0.7022372103904382,1efd1b2f7a89446cb55ceed35c54cd95
minibatch,True,0.05,0.01,0.7073085682617121,0.6955218563229665,0.7009163791810803,0.6962937749911869,0.7003141445789023,67d425c07186437eaf0b15cf797c22ea
minibatch,False,0.01,0.01,0.6869246125653815,0.6724539280990497,0.6780243322056969,0.6744916788616778,0.67909199653295,8ef1163ac9e1459ea5459ded38588cbc
batch,False,0.01,0.01,0.6860067434456703,0.6721392066786686,0.6777930294323649,0.6743361937583007,0.678072850933625,de6075677690491694c88c7f2eb1a709
batch,True,0.01,0.01,0.6819673507198537,0.6660411936284828,0.6718959568995051,0.6698987343564197,0.673452314726599,ad84f21ca5094d25a49f7820ddad33a1
minibatch,True,0.01,0.01,0.6812328329348754,0.6644999930107447,0.6702748997340563,0.667905920210106,0.6728429947150408,28dbdce9c86241ca932168d31a4d29ff
stochastic,False,0.1,0.01,0.6801268593018693,0.6700028409974533,0.6756426653181237,0.6811455620216376,0.6742710641992492,88f650782bfe464894f15de92e908c9b
stochastic,False,0.05,0.01,0.6786580259948302,0.6641026471763635,0.6702947022561832,0.6826596209687402,0.6705458906665186,47fab2bc0d774f0db3eb658ff40d1fd5
stochastic,False,0.01,0.01,0.6604832870151253,0.6306913281994934,0.6388259303616564,0.6738169590020208,0.6483376493325455,f0d81029ffdb427181644b4e499df5bf
stochastic,True,0.05,0.01,0.6524010630938946,0.626568752785332,0.634167834338425,0.6648831679003997,0.6421811773120242,7fd81bcedde442499711517d7f6ba5c8
stochastic,True,0.01,0.01,0.647078312156406,0.6084732987476164,0.6176789007447084,0.6648851643034462,0.6337298460698798,6bf6415d37bd418d934b5064e197aa76
batch,True,0.1,0.1,0.6408351638127369,0.6023932695521851,0.610807428172779,0.6317975753117177,0.6278739699520255,12b6fa94e0c84dd8a9d8e4ed7f4b3984
batch,True,0.05,0.1,0.6402845030197853,0.601648868136938,0.6100747009005264,0.631353733606662,0.6272941283401096,10f93f6d7bfc4778b03a7f8804233add
minibatch,True,0.05,0.1,0.6380812530592266,0.595209296724394,0.6035235671493567,0.6303985378292178,0.6252990261482739,7763a14ed8a44cdab569ba855b329522
batch,True,0.01,0.1,0.6349595271902041,0.5947370002243219,0.6032001366573233,0.6255810004161485,0.6217880334266632,0af142c819f8488f8f8b0356cdb3f2fb
stochastic,True,0.1,0.01,0.6344039109557732,0.6101903830207848,0.61733898119566,0.6424716425118854,0.6263767296151211,d7967ae4e0cf46528cb88a0447e79cde
minibatch,True,0.01,0.1,0.6311043959822494,0.5893181554258353,0.5977340624671663,0.6187205598517639,0.6179319633030061,0de39ed190604960aea5473bcc6922ba
minibatch,True,0.1,0.1,0.6309198310700114,0.5824960123491522,0.5911729861361342,0.6242946565805109,0.6181517363582706,de2dd95c9f2249f68b79fbf51871133a
stochastic,True,0.01,0.1,0.5807891692252926,0.49612940226638286,0.5093504599086146,0.6010732893368599,0.5637257729261219,b39afbcf0d0d4fcd975618f28cab3fd1
stochastic,True,0.05,0.1,0.564085690707637,0.4924846298457017,0.5046021570118048,0.5278506636531584,0.5488529169920531,f4ca7b1825634ddeaf0598f0d33b319c
stochastic,True,0.1,0.1,0.5543539115625619,0.4931752067312522,0.5031357050355337,0.5155107890907226,0.5421516755313472,423d984da0054faeb64cdd57c7cc13fb
